"Issue Type","Summary","Description","Priority","Epic Name","Epic Link","Original Estimate"
"Epic","EPIC-1 Product Scope and MVP Readiness","Own MVP scope, feature gating, asset readiness, and product-truth alignment before launch.","Highest","Aegis Product Scope","",""
"Epic","EPIC-2 Transaction Engine","Deliver the backend, execution flow, and transaction state handling required for real routed actions.","Highest","Aegis Transaction Engine","",""
"Epic","EPIC-3 User Portal and Data Layer","Replace mock-driven analytics and history with live indexed data and wallet-first portfolio views.","Highest","Aegis User Portal","",""
"Epic","EPIC-4 QA, Security, and Release Engineering","Create the release, staging, security, and operational controls required for a safe public product.","Highest","Aegis QA Security Release","",""
"Epic","EPIC-5 Post-MVP Growth","Track deferred roadmap work including unified auth, identity, and Risk Oracle 2.0.","Medium","Aegis Post-MVP Growth","",""
"Story","AEGIS-MVP-01 Lock MVP scope and define launch feature flags","Define the exact MVP boundary so unsupported features are not marketed as live. Dependencies: none. Acceptance Criteria: MVP scope approved; each user-facing feature marked live, beta, or post-MVP; route execution go/no-go decision documented; feature-gating plan documented.","Highest","","Aegis Product Scope","2d"
"Task","AEGIS-MVP-02 Remove or relabel mock and hardcoded metrics in production-facing UI","Audit all frontend screens and remove fabricated APY, TVL, yield, and activity metrics unless explicitly labeled as demo data. Dependencies: AEGIS-MVP-01. Acceptance Criteria: no core decision screen shows fake data as live; marketing copy matches shipped feature set; placeholder metrics removed or clearly tagged; product-owner signoff completed.","Highest","","Aegis Product Scope","2d"
"Story","AEGIS-MVP-03 Create supported asset registry and admin bootstrap flow","Create a single source of truth for supported assets, network addresses, decimals, and display metadata. Add an admin/bootstrap script to whitelist supported tokens on the deployed vault. Dependencies: AEGIS-MVP-01. Acceptance Criteria: canonical supported-asset config exists; admin script can add supported tokens; token decimals, symbols, and addresses are validated; frontend config consumes the same registry.","Highest","","Aegis Product Scope","3d"
"Task","AEGIS-MVP-04 Add environment validation and wallet/network guardrails","Prevent invalid deployments and broken frontend flows caused by missing env vars, wrong network, or placeholder addresses. Dependencies: AEGIS-MVP-03. Acceptance Criteria: startup validation fails fast on invalid config; frontend blocks interaction on unsupported network; zero-address and placeholder-address configs are rejected; clear user messaging exists for misconfiguration states.","High","","Aegis Product Scope","2d"
"Story","AEGIS-MVP-05 Build oracle/relay service for aiOracle transaction execution","Create the backend service that owns the AI oracle key and can validate, sign, submit, and track authorized routed transactions. Dependencies: AEGIS-MVP-01. Acceptance Criteria: secure route-execution API exists; service signs and sends authorized transactions in staging; all execution requests are logged with request ID and tx hash; failures are persisted and visible to operators.","Highest","","Aegis Transaction Engine","5d"
"Story","AEGIS-MVP-06 Implement transaction retries, idempotency, and execution state tracking","Make the transaction engine operationally safe by preventing duplicate sends and supporting retries for transient failures. Dependencies: AEGIS-MVP-05. Acceptance Criteria: duplicate execution requests do not create duplicate transactions; retry policy exists; execution status can be queried by request ID; terminal states include submitted, confirmed, failed, and blocked.","Highest","","Aegis Transaction Engine","3d"
"Story","AEGIS-MVP-07 Replace chat route placeholder with real route-execution flow or disable it","The current chat confirm path is a placeholder. Connect it to the real execution flow or disable the confirm action until the backend is ready. Dependencies: AEGIS-MVP-05. Acceptance Criteria: chat confirm action never points to a zero-address placeholder; confirm flow either triggers a real backend request or is disabled behind a feature flag; user sees clear success, failure, and pending feedback; QA signoff covers safe and blocked intent flows.","Highest","","Aegis Transaction Engine","3d"
"Story","AEGIS-MVP-08 Implement one production-safe routed strategy or cut routing from MVP","Resolve the biggest product gap by either implementing one real end-to-end routed action or explicitly shipping MVP without live routed execution. Dependencies: AEGIS-MVP-05, AEGIS-MVP-07. Acceptance Criteria: product decision documented; if included, one routed strategy executes end-to-end in staging; if excluded, route execution UI is feature-gated and messaging updated; launch checklist reflects final product posture.","Highest","","Aegis Transaction Engine","5d"
"Task","AEGIS-MVP-09 Add explorer links and user-visible transaction status handling","Improve user trust by exposing submitted transaction hashes, confirmations, and failure states consistently across deposit, withdrawal, and routed flows. Dependencies: AEGIS-MVP-06. Acceptance Criteria: all submitted transactions display a tx hash; explorer links are available where applicable; pending, confirmed, and failed states are visible in UI; error copy is understandable by end users.","High","","Aegis Transaction Engine","2d"
"Story","AEGIS-MVP-10 Build event indexer for deposits, withdrawals, and routed yield events","Implement SubQuery, SubSquid, or equivalent indexing so user-facing dashboards can rely on real on-chain event history instead of static mocks. Dependencies: AEGIS-MVP-03. Acceptance Criteria: indexer ingests Deposit, Withdrawal, and YieldRoutedViaXCM events; user and protocol aggregates are queryable; reindex and recovery procedure is documented; staging indexer is populated from deployed contract events.","Highest","","Aegis User Portal","5d"
"Story","AEGIS-MVP-11 Expose portfolio and transaction-history API","Create a minimal API layer that serves the frontend with live portfolio, ledger, and summary data sourced from the indexer. Dependencies: AEGIS-MVP-10. Acceptance Criteria: API returns user transaction history with filters; API returns protocol and user summary metrics; API uses indexed live data rather than local mock data; API errors are documented and handled.","High","","Aegis User Portal","3d"
"Story","AEGIS-MVP-12 Replace mockData.ts usage across activity, yield, and history views","Switch the frontend from mock services to live backend and indexer data for the activity page, yield statistics, and transaction history. Dependencies: AEGIS-MVP-11. Acceptance Criteria: mockData.ts is no longer used in core user flows; activity page shows live data; transaction history shows live data; loading and empty states are implemented for all converted views.","Highest","","Aegis User Portal","4d"
"Story","AEGIS-MVP-13 Add wallet-first portfolio dashboard with live balances and user history","Deliver a wallet-first personalized dashboard using the connected wallet as the initial identity model for MVP. Dependencies: AEGIS-MVP-12. Acceptance Criteria: connected users can see live deposit balances; connected users can see recent history for their address; dashboard reflects real protocol and user metrics; empty-state UX exists for first-time users.","High","","Aegis User Portal","3d"
"Story","AEGIS-MVP-14 Repair Playwright suite and align e2e coverage with current UI","The current end-to-end suite is stale and should not be used as a release signal until fixed. Dependencies: AEGIS-MVP-07, AEGIS-MVP-12. Acceptance Criteria: Playwright config starts the app reliably in CI and staging; stale selectors and assertions are updated; core smoke coverage includes chat cancel and one wallet flow; npm run test:e2e is green in the release pipeline.","Highest","","Aegis QA Security Release","2d"
"Story","AEGIS-MVP-15 Add CI pipeline for contracts, frontend build, and smoke checks","Create an automated release gate to prevent regressions across contracts and frontend. Dependencies: AEGIS-MVP-14. Acceptance Criteria: CI runs contract tests on every main-branch change; CI runs frontend build and type validation; CI runs smoke-level e2e coverage; pipeline status is visible and documented.","Highest","","Aegis QA Security Release","3d"
"Story","AEGIS-MVP-16 Create staging deployment, managed secrets, and env promotion flow","Define staging and production environments with proper secrets management and clear promotion criteria. Dependencies: AEGIS-MVP-15. Acceptance Criteria: separate staging and production environments exist; secrets are not stored in source control; environment-promotion checklist is documented; staging deployment can be validated before production release.","Highest","","Aegis QA Security Release","4d"
"Story","AEGIS-MVP-17 Prepare for external smart contract audit","Package contract scope, architecture notes, deployment details, and test evidence so the project is ready for a professional audit. Dependencies: AEGIS-MVP-08, AEGIS-MVP-15. Acceptance Criteria: audit scope is frozen; auditor package includes architecture, tests, deployment metadata, and assumptions; known limitations are documented; audit request can be issued immediately.","Highest","","Aegis QA Security Release","3d"
"Story","AEGIS-MVP-18 Implement audit remediations and launch-blocking security fixes","Close critical and high-severity issues found during audit before any production launch. Dependencies: AEGIS-MVP-17. Acceptance Criteria: all critical findings remediated; agreed high findings remediated; re-test evidence documented; final launch go/no-go review includes audit closure status.","Highest","","Aegis QA Security Release","5d"
"Story","AEGIS-MVP-19 Add monitoring, alerting, and operator runbooks","Make the backend, frontend, and transaction engine operable in public release conditions. Dependencies: AEGIS-MVP-16. Acceptance Criteria: error logging and alerting are configured; operators can trace a route request to a chain transaction; runbooks exist for deployment failure, transaction failure, and indexer lag; escalation ownership is documented.","High","","Aegis QA Security Release","3d"
"Task","AEGIS-MVP-20 Add API validation, rate limiting, and abuse protection","Protect the backend and oracle service from malformed requests and abuse. Dependencies: AEGIS-MVP-05. Acceptance Criteria: API schema validation exists for all write endpoints; rate limiting exists for public-facing endpoints; invalid requests are rejected with consistent error codes; abuse controls are documented.","High","","Aegis QA Security Release","2d"
"Task","AEGIS-GROWTH-01 Research and select unified auth provider","Evaluate Privy, Dynamic, and Web3Auth for the next-phase onboarding model. Dependencies: MVP complete. Acceptance Criteria: evaluation matrix compares product, UX, security, and pricing; recommended provider is documented; integration risks and migration plan are documented.","Medium","","Aegis Post-MVP Growth","2d"
"Story","AEGIS-GROWTH-02 Design user profile and identity-linking schema","Design the database and identity model that links wallet addresses with social identities and user preferences. Dependencies: AEGIS-GROWTH-01. Acceptance Criteria: schema design documented; identity-linking rules defined; privacy and security considerations documented; session and auth ownership defined.","Medium","","Aegis Post-MVP Growth","3d"
"Story","AEGIS-GROWTH-03 Build Risk Oracle 2.0 with live protocol-health inputs","Upgrade the current heuristic risk model into a live system that consumes protocol and market-health signals. Dependencies: MVP complete. Acceptance Criteria: risk inputs are defined and sourced from live systems; scoring model is documented; safe and block thresholds are configurable; observability exists for score decisions.","Medium","","Aegis Post-MVP Growth","5d"
